slug,name,address
national-gallery-singapore,National Gallery Singapore,"1 Saint Andrew's Road, S(178957)"
national-dental-centre,National Dental Centre,"5 Second Hospital Avenue, S(168938)"
takashimaya-ngee-ann-city,"Takashimaya, Ngee Ann City","391 Orchard Road, S(238872)"
national-cancer-centre-singapore-nccs,"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)"
maxwell-house,Maxwell House,38 Maxwell Road S(069116)
tan-boon-liat-building,Tan Boon Liat Building,"315 Outram Road, S(169074)"
harbourfront-tower-1,HarbourFront Tower 1,"1 HarbourFront Place, S(098633)"
hard-rock-hotel,Hard Rock Hotel,"8 Sentosa Gateway, S(098269)"
havelock-2,Havelock 2,"2 Havelock Road, S(059763)"
national-heart-centre-singapore,National Heart Centre Singapore,"5 Hospital Drive, S(169609)"
national-library-building,National Library Building,"100 Victoria Street, S(188064)"
national-skin-centre,National Skin Centre,"1 Mandalay Road, S(308205)"
neil-road,Neil Road,"110 Neil Rd, Singapore 088853"
north-bridge-centre,North Bridge Centre,"420 North Bridge Road, S(188727)"
negara-hotel,Negara Hotel,"10 Claymore Road, S(229540)"
new-bahru,New Bahru,46 Kim Yam Road
novena-gardens,Novena Gardens,"273 Thomson Road, S(307644)"
novena-regency,Novena Regency,"275 Thomson Road, S(307645)"
tan-tock-seng-hospital-ttsh,Tan Tock Seng Hospital (TTSH),"11 Jalan Tan Tock Seng, S(308433)"
novotel-singapore-on-stevens,Novotel Singapore On Stevens,"28 Stevens Road, S(257878)"
tang-plaza,Tang Plaza,"320 Orchard Road, S(238865)"
ntuc-income-centre,NTUC Income Centre,"75 Bras Basah Road, S(189557)"
oasia-hotel-downtown-singapore,"Oasia Hotel Downtown, Singapore","100 Peck Seah Street, S(079333)"
ntuc-prinsep-house,NTUC Prinsep House,"30 Prinsep Street, S(188647)"
ocbc-centre,OCBC Centre,"65 Chulia Street, S(049513)"
tanglin-mall,Tanglin Mall,"163 Tanglin Road, S(247933)"
oasia-hotel-singapore,Oasia Hotel Singapore,"8 Sinaran Drive, S(307470)"
tanglin-place,Tanglin Place,"91 Tanglin Road, S(247918)"
ocean-financial-centre,Ocean Financial Centre,"10 Collyer Quay, S(049315)"
odeon-towers,Odeon Towers,"331 North Bridge Road, S(188720)"
tanglin-post-office,Tanglin Post Office,"56 Tanglin Road, S(247964)"
tanglin-shopping-centre,Tanglin Shopping Centre,"19 Tanglin Road, S(247909)"
og-people-s-park,OG People's Park,"100 Upper Cross Street, S(059108)"
og-albert,OG Albert,"60 Albert Street, S(189969)"
tanjong-pagar-complex-covered-carpark,Tanjong Pagar Complex (Covered Carpark),"7 Keppel Road, S(089053)"
tanjong-pagar-complex-open-carpark,Tanjong Pagar Complex (Open Carpark),"7 Keppel Road, S(089053)"
one-dusun-residences,One Dusun Residences,"1 Jalan Dusun, S(329363)"
teletech-park-basement-car-park,Teletech Park (Basement Car Park),"20 Science Park Road, S(117674)"
one-fullerton-the-fullerton-heritage,One Fullerton - The Fullerton Heritage,"1 Fullerton Road, S(049213)"
tanjong-pagar-plaza,Tanjong Pagar Plaza,"1 Tanjong Pagar Plaza, S(082001)"
haw-par-centre,Haw Par Centre,"180 Clemenceau Avenue, S(239922)"
one-george-street,One George Street,"1 George Street, S(049145)"
textile-centre,Textile Centre,"200 Jalan Sultan, S(199018)"
the-adelphi,The Adelphi,"1 Coleman Street, S(179803)"
hb-centre-1,Hb Centre 1,"12 Tannery Road, S(347722)"
haw-par-villa,Haw Par Villa,"262 Pasir Panjang Road, S(118628)"
health-promotion-board,Health Promotion Board,"3 Second Hospital Avenue, S(168937)"
the-alexcier,The Alexcier,"237 Alexandra Road, S(159929)"
the-atrium-orchard,The Atrium @ Orchard,"60 Orchard Road, S(238889)"
the-cathay,The Cathay,"2 Handy Road, S(229233)"
one-marina-boulevard,One Marina Boulevard,"1 Marina Boulevard, S(018989)"
the-bencoolen,The Bencoolen,"180 Bencoolen Street, S(189646)"
the-centrepoint,The Centrepoint,"176 Orchard Road, S(238843)"
henderson-building,Henderson Building,"221 Henderson Road, S(159557)"
the-clift,The Clift,"21 Mccallum Street, S(069047)"
henderson-industrial-park-blk-213-to-219,Henderson Industrial Park Blk 213 to 219,"213 Henderson Road, S(159553)"
hilton-singapore-orchard,Hilton Singapore Orchard,"333 Orchard Road, S(238867)"
the-concourse,The Concourse,"298 Beach Road, S(199554)"
high-street-centre,High Street Centre,"1 North Bridge Road, S(179094)"
one-raffles-place,One Raffles Place,"1 Raffles Place, S(048616)"
one-shenton,One Shenton,"1 Shenton Way, S(068803)"
holiday-inn-express-singapore-orchard-road,Holiday Inn Express Singapore Orchard Road,"20 Bideford Road, S(229921)"
holiday-inn-singapore-atrium,Holiday Inn Singapore Atrium,"317 Outram Road, S(169075)"
one-raffles-quay,One Raffles Quay,1 Raffles Quay S(048583)
orchard-building,Orchard Building,"1 Grange Road, S(239693)"
orchard-central,Orchard Central,"181 Orchard Road, S(238896)"
orchard-credit-building,Orchard Credit Building,"1 Chang Charn Road, S(159630)"
holiday-inn-singapore-orchard-city-centre,Holiday Inn Singapore Orchard City Centre,"11 Cavenagh Road, S(229616)"
hong-lim-complex,Hong Lim Complex,531 Upper Cross Street S(050531)
hong-leong-building,Hong Leong Building,"16 Raffles Quay, S(048581)"
orchard-gateway,Orchard Gateway,"277 Orchard Road, S(238858)"
the-gateway-150-beach-road,The Gateway @ 150 Beach Road,"150 Beach Road, S(189720)"
orchard-grand-court,Orchard Grand Court,"131 Killiney Road, S(239571)"
the-heeren,The Heeren,"260 Orchard Road, S(238855)"
the-herencia,The Herencia,"46 Kim Yam Road, S(239351)"
the-lawn-marina-bay,The Lawn @ Marina Bay,"12 Marina Boulevard, S(018982)"
orchard-plaza,Orchard Plaza,"150 Orchard Road, S(238841)"
hortpark,HortPark,"33 Hyderabad Road, S(119578)"
the-luxe,The Luxe,"6 Handy Road, S(229234)"
orchard-hotel-singapore,Orchard Hotel Singapore,"442 Orchard Road, S(238879)"
hotel-boss,Hotel Boss,"500 Jalan Sultan, S(199020)"
hotel-fort-canning-entrance-2,Hotel Fort Canning (Entrance 2),"11 Canning Walk, S(178881)"
hotel-fort-canning-entrance-1,Hotel Fort Canning (Entrance 1),"11 Canning Walk, S(178881)"
the-mint-museum-of-toys,The Mint Museum of Toys,"26 Seah Street, S(188382)"
hotel-g-singapore,Hotel G Singapore,"200 Middle Road, S(188980)"
orchard-point,Orchard Point,"160 Orchard Road, S(238842)"
hotel-grand-pacific,Hotel Grand Pacific,"101 Victoria Street, S(188018)"
hotel-jen-at-tanglin,Hotel Jen at Tanglin,"1A Cuscaden Road, S(249716)"
the-national-museum-of-singapore,The National Museum of Singapore,"93 Stamford Road, S(178897)"
the-pinnacle-duxton,The Pinnacle @ Duxton,"1 Cantonment Road, S(080001)"
orchard-rendezvous-hotel,Orchard Rendezvous Hotel,"1 Tanglin Road, S(247905)"
the-pier-at-robertson,The Pier at Robertson,"80 Mohamed Sultan Road, S(239013)"
the-quayside,The Quayside,"60 Robertson Quay, S(238252)"
orchid-hotel,Orchid Hotel,"1 Tras Link, S(078867)"
orchard-towers,Orchard Towers,"400 Orchard Road, S(238875)"
the-plaza,The Plaza,"7500 Beach Road, S(199590)"
hotel-re,Hotel Re!,175A Chin Swee Road S(169879)
hotel-michael,Hotel Michael,"8 Sentosa Gateway, S(098269)"
oriental-plaza,Oriental Plaza,"291 New Bridge Road, S(088756)"
the-ritz-carlton-millenia-singapore,"The Ritz Carlton, Millenia Singapore","7 Raffles Avenue, S(039799)"
hotel-rendezvous,Hotel Rendezvous,"9 Bras Basah Road, S(189559)"
oue-bayfront,OUE Bayfront,"50 Collyer Quay, S(049321)"
oue-downtown-1,OUE Downtown 1,"6 Shenton Way, S(068809)"
the-riverwalk,The Riverwalk,"20 Upper Circular Road, S(055416)"
the-sail-marina-bay,The Sail @ Marina Bay,2 Marina Boulevard S(018987)
the-ura-centre-basement-car-park,The URA Centre (Basement Car Park),"45 Maxwell Road, S(069118)"
hotel-royal-queens,Hotel Royal Queens,"12 Queen Street, S(188553)"
oue-downtown-2,OUE Downtown 2,"6 Shenton Way, S(068809)"
outram-community-hospital-singhealth-tower,Outram Community Hospital (SingHealth Tower),"10 Hospital Boulevard, S(168582)"
the-ura-centre-east-wing,The URA Centre East Wing,"45 Maxwell Road, S(069118)"
hua-song-museum,Hua Song Museum,"262 Pasir Panjang Road, S(118628)"
hub-synergy,Hub Synergy,"70 Anson Road, S(079905)"
outram-road-off-street,Outram Road Off-Street,"231 Outram Road, S(169040)"
pacific-plaza,Pacific Plaza,"9 Scotts Road, S(228210)"
ibis-singapore-on-bencoolen-hotel,Ibis Singapore On Bencoolen Hotel,"170 Bencoolen Street, S(189657)"
the-village-centre,The Village Centre,"3 South Buona Vista Road, S(118136)"
thomson-medical-centre,Thomson Medical Centre,"339 Thomson Road, S(307677)"
icon-village,Icon Village,"12 Gopeng Street, S(078877)"
thong-chai-building,Thong Chai Building,"50 Chin Swee Road, S(169874)"
palais-renaissance,Palais Renaissance,"390 Orchard Road, S(238871)"
intercontinental-robertson-quay,InterContinental Robertson Quay,"1 Nanson Road, S(238909)"
pan-pacific-hotel,Pan Pacific Hotel,"7 Raffles Boulevard, S(039595)"
income-raffles,Income@Raffles,"16 Collyer Quay, S(049318)"
inter-continental-singapore-hotel,Inter-continental Singapore Hotel,"80 Middle Road, S(88966)"
pan-pacific-orchard,Pan Pacific Orchard,"10 Claymore Road, S(229540)"
pan-pacific-serviced-suites-orchard,Pan Pacific Serviced Suites Orchard,"96 Somerset Rd, S(238163)"
international-building,International Building,"360 Orchard Road, S(238869)"
paragon,Paragon,"290 Orchard Road, S(238859)"
park-regis-singapore,Park Regis Singapore,"23 Merchant Road, S(058268)"
park-hotel-farrer-park,Park Hotel Farrer Park,10 Farrer Park Station Road S(217564)
thye-hong-centre,Thye Hong Centre,2 Leng Kee Road S(159086)
parklane-shopping-mall,Parklane Shopping Mall,"35 Selegie Road, S(188307)"
tiong-bahru-market,Tiong Bahru Market,"30 Seng Poh Road, S(168898)"
parkroyal-kitchener-road-4th-floor,Parkroyal @ Kitchener Road (4th Floor),"181 Kitchener Road, S(208533)"
trio,Trio,"11 Sam Leong Road, S(207903)"
international-plaza,International Plaza,"10 Anson Road, S(079903)"
twenty-anson,Twenty Anson,"20 Anson Road, S(079912)"
parkroyal-collection-marina-bay,Parkroyal Collection Marina Bay,"6 Raffles Boulevard, S(039594)"
parkroyal-collection-pickering,PARKROYAL COLLECTION Pickering,"3 Upper Pickering Street, S(058289)"
tripleone-somerset,TripleOne Somerset,"111 Somerset Road, S(238164)"
ion-orchard,Ion Orchard,"2 Orchard Turn, S(238801)"
ue-bizhub-west,UE BizHub West,"450 Alexandra Road, S(119960)"
parkroyal-on-beach-road-hotel-driveway,PARKROYAL on Beach Road (Hotel Driveway),"7500A Beach Road, S(199591)"
ubs-singapore,UBS Singapore,"9 Penang Road, S(238459)"
united-square-shopping-mall,United Square Shopping Mall,"101 Thomson Road, S(307591)"
jalan-besar-sports-centre,Jalan Besar Sports Centre,"100 Tyrwhitt Road, S(207542)"
uic-building,UIC Building,"5 Shenton Way, S(068808)"
ue-square,UE Square,"81 Clemenceau Avenue, S(239917)"
joo-chiat-neighbourhood-centre,Joo Chiat Neighbourhood Centre,"2 Joo Chiat Road, S(420002)"
up-robertson-quay,Up @ Robertson Quay,"90 Robertson Quay, S(238259)"
uob-plaza,UOB Plaza,"80 Raffles Place, S(048624)"
v-hotel-lavender,V Hotel Lavender,"70 Jellicoe Road, S(208767)"
kallang-car-park-1-kallang-h,Kallang Car Park 1 (Kallang H),"200 Stadium Boulevard, S(397726)"
velocity-novena-square,Velocity @ Novena Square,"238 Thomson Road, S(307683)"
victoria-wholesale-centre,Victoria Wholesale Centre,"101 Kallang Avenue, S(339508)"
vantage-automotive-centre,Vantage Automotive Centre,"305 Alexandra Road, S(159942)"
visioncrest,VisionCrest,"33 Oxley Rise, S(238467)"
viio-balestier,VIIO @ Balestier,"520 Balestier Road, S(329853)"
kallang-car-park-2-netball-centre,Kallang Car Park 2 (Netball Centre),"6 Stadium Boulevard, S(397797)"
village-residence-robertson-quay,Village Residence Robertson Quay,"30 Robertson Quay, S(238251)"
keck-seng-tower,Keck Seng Tower,133 Cecil Street S(069535)
katong-swimming-complex,Katong Swimming Complex,"111 Wilkinson Road, S(436752)"
kallang-theatre,Kallang Theatre,"1 Stadium Walk, S(397689)"
kallang-car-park-3-tennis-centre,Kallang Car Park 3 (Tennis Centre),"8 Stadium Boulevard, S(397796)"
voco-orchard-singapore,voco Orchard Singapore,"581 Orchard Road, S(238883)"
keppel-towers,Keppel Towers,"10 Hoe Chiang Road, S(089315)"
vivocity,VivoCity,"1 HarbourFront Walk, S(098585)"
keppel-bay-tower,Keppel Bay Tower,"1 Harbourfront Avenue, S(098632)"
westway,WestWay,"27 West Coast Highway, S(117867)"
w-singapore-sentosa-cove,W Singapore Sentosa Cove,"21 Ocean Way Sentosa, S(098374)"
wheelock-place,Wheelock Place,"501 Orchard Road, S(238880)"
kreta-ayer-people-s-theatre,Kreta Ayer People's Theatre,"30A Kreta Ayer Road, S(088997)"
kwong-wai-shui-hospital,Kwong Wai Shui Hospital,"705 Serangoon Road, S(328127)"
labrador-nature-reserve-car-park-a-and-b,Labrador Nature Reserve (Car Park A and B),"Labrador Villa Road, S(001340)"
wilby-central,Wilby Central,"15 Queen Street, S(188537)"
landmark-village-hotel,Landmark Village Hotel,"390 Victoria Street, S(188061)"
lasalle-college-of-the-arts,Lasalle College of the Arts,"1 McNally Street, S(187940)"
parkroyal-on-beach-road-mscp,PARKROYAL on Beach Road (MSCP),"7500A Beach Road, S(199591)"
wilkie-edge,Wilkie Edge,"8 Wilkie Road, S(228095)"
parkview-square,Parkview Square,"600 North Bridge Road, S(188778)"
parliament-house,Parliament House,"1 Parliament Place, S(178880)"
parkwayhealth-day-surgery-and-medical-centre,ParkwayHealth Day Surgery and Medical Centre,"363 Balestier Road, S(329784)"
lazada-one,Lazada One,"51 Bras Basah Road, S(189554)"
pasir-panjang-ferry-terminal,Pasir Panjang Ferry Terminal,"35 West Coast Highway, S(117862)"
winsland-house-1,Winsland House 1,"3 Killiney Road, S(239519)"
passion-wave-marina-bay,PAssion WaVe @ Marina Bay,"11 Rhu Cross, S(437440)"
wisma-atria,Wisma Atria,"435 Orchard Road, S(238877)"
winsland-house-2,Winsland House 2,"163 Penang Road, S(238463)"
yan-kit-road-cantonment-road-off-street,Yan Kit Road / Cantonment Road Off-Street,"200 Yan Kit Road, S(088278)"
pearl-bank-off-street,Pearl Bank Off Street,"1 Pearl Bank, S(169016)"
yong-pung-how-school-of-law-smu,Yong Pung How School of Law (SMU),"55 Armenian Street, S(179943)"
peace-centre,Peace Centre,"1 Sophia Road, S(228149)"
young-men-s-christian-association-of-singapore-ymca,Young Men's Christian Association Of Singapore (YMCA),"1 Orchard Road, S(238824)"
york-hotel,York Hotel,"21 Mount Elizabeth, S(228516)"
young-women-christian-association-ywca-fort-canning-lodge,Young Women Christian Association (YWCA) Fort Canning Lodge,"6 Fort Canning Road, S(179494)"
yotel-singapore,YOTEL Singapore,"366 Orchard Rd, S(238904)"
liat-towers,Liat Towers,"541 Orchard Road, S(238881)"
lee-kong-chian-school-of-medicine-lkcmedicine,Lee Kong Chian School of Medicine (LKCMedicine),"11 Mandalay Road, S(308232)"
zhongshan-mall,Zhongshan Mall,"20 Ah Hood Road, S(329984)"
lee-kong-chian-school-of-business-smu,Lee Kong Chian School of Business (SMU),"50 Stamford Road, S(178899)"
lumiere,Lumiere,"2 Mistri Road, S(079624)"
luzerne,Luzerne,"70 Bendemeer Road, S(339940)"
link-896,Link@896,"896 Dunearn Road, S(589472)"
lucky-plaza,Lucky Plaza,"304 Orchard Road, S(238863)"
m-hotel,M Hotel,"81 Anson Road, S(079908)"
manulife-tower,Manulife Tower,"8 Cross Street, S(048424)"
mapletree-business-city,Mapletree Business City,"20 Pasir Panjang Road, S(117439)"
mandarin-gallery,Mandarin Gallery,"333A Orchard Road, S(238897)"
penang-road,Penang Road,Penang Road
people-s-park-centre,People's Park Centre,"101 Upper Cross Street, S(058357)"
peck-seah-street-off-street,Peck Seah Street Off Street,"23 Peck Seah Street, S(079313)"
peninsula-excelsior-hotel,Peninsula Excelsior Hotel,"5 Coleman Street, S(179805)"
plus,PLUS,"20 Cecil Street, S(049705)"
psb-academy-campus-delta,PSB Academy Campus @ Delta,"355 Jalan Bukit Ho Swee, S(169567)"
plaza-singapura,Plaza Singapura,"68 Orchard Road, S(238839)"
people-s-park-complex,People's Park Complex,"1 Park Road, S(059108)"
marina-at-keppel-bay,Marina at Keppel Bay,"2 Keppel Bay Vista, S(098382)"
marina-bay-cruise-centre-singapore-mbccs,Marina Bay Cruise Centre Singapore (MBCCS),"61 Marina Coastal Drive, S(018947)"
marina-barrage,Marina Barrage,"8 Marina Gardens Drive, S(018951)"
marina-bay-financial-centre-tower-1,Marina Bay Financial Centre Tower 1,"8 Marina Boulevard, S(018981)"
marina-bay-link-mall,Marina Bay Link Mall,8A Marina Boulevard S(018984)
marina-bay-financial-centre-tower-3,Marina Bay Financial Centre Tower 3,10 Marina Boulevard S(018983)
marina-bay-financial-centre-tower-2,Marina Bay Financial Centre Tower 2,10 Marina Boulevard S(018983)
public-carpark-peranakan-museum,Public carpark (Peranakan Museum),"39 Armenian Street, S(179941)"
quality-hotel-singapore,Quality Hotel Singapore,"201 Balestier Road, S(329926)"
marina-bay-open-carpark,Marina Bay Open Carpark,"11 Marina Boulevard, S(018940)"
pullman-singapore-orchard,Pullman Singapore Orchard,"270 Orchard Road, S(238857)"
marina-bay-sands-mbs,Marina Bay Sands (MBS),"10 Bayfront Ave, S(018970)"
quayside-isle-sentosa-cove,Quayside Isle @ Sentosa Cove,"31 Ocean Way, Sentosa Cove, S(098375)"
queensway-shopping-centre,Queensway Shopping Centre,"1 Queensway, S(149053)"
raffles-city,Raffles City,"252 North Bridge Road, S(179103)"
marina-one,Marina One,"5 Straits View, S(018935)"
raffles-hospital,Raffles Hospital,"585 North Bridge Road, S(188770)"
marina-south-pier-msp,Marina South Pier (MSP),"31 Marina Coastal Drive, S(018988)"
raffles-hotel,Raffles Hotel,"1 Beach Road, S(189673)"
marina-square,Marina Square,"6 Raffles Boulevard, S(039594)"
marsh-and-mclennan-centre,Marsh and McLennan Centre,"18 Cross Street, S(048423)"
raffles-town-club,Raffles Town Club,"1 Plymouth Avenue, S(297753)"
raffles-quay,Raffles Quay,"1 Raffles Quay, S(048583)"
maritime-square-d-off-street,Maritime Square D Off Street,"1 Maritime Square, S(099253)"
regency-house,Regency House,"121 Penang Road, S(238464)"
regent-hotel-basement-parking,Regent Hotel (Basement Parking),"1 Cuscaden Road, S(249715)"
regent-hotel-cuscaden-parking,Regent Hotel (Cuscaden Parking),"1 Cuscaden Road, S(249715)"
red-dot-design-museum,Red Dot Design Museum,"11 Marina Boulevard, S(018940)"
relc-international-hotel,RELC International Hotel,"30 Orange Grove Road, S(258352)"
ren-ci-community-hospital,Ren Ci Community Hospital,"71 Irrawaddy Road, S(329562)"
resorts-world-sentosa-rws,Resorts World Sentosa (RWS),"8 Sentosa Gateway, S(098269)"
republic-plaza,Republic Plaza,"9 Raffles Place, S(048619)"
robertson-quay-hotel,Robertson Quay Hotel,"15 Merbau Road, S(239032)"
robertson-walk,Robertson Walk,"11 Unity Street, S(237995)"
revenue-house-iras,Revenue House (IRAS),"55 Newton Road, S(307987)"
riverside-point,Riverside Point,"30 Merchant Road, S(058282)"
robinson-point,Robinson Point,"39 Robinson Road, S(068911)"
robinson-77,Robinson 77,"77 Robinson Road, S(068896)"
rochester-mall,Rochester Mall,"33 Rochester Drive, S(138639)"
royal-hotel,Royal Hotel,"36 Newton Road, S(307964)"
samsung-hub,Samsung Hub,"3 Church Street, S(049483)"
royal-plaza-on-scotts,Royal Plaza on Scotts,"25 Scotts Road, S(228220)"
school-of-the-arts-singapore,School of the Arts Singapore,"1 Zubir Said Drive, S(227968)"
royal-square-novena,Royal Square @ Novena,"101 Irawaddy Road, S(329565)"
seah-im-carpark,Seah Im Carpark,2 Seah Im Road S(099114)
scotts-square,Scotts Square,"6 Scotts Road, S(228209)"
tong-eng-building,Tong Eng Building,"101 Cecil Street, S(069533)"
gr-id,GR.iD,"1 Selegie Road, S(188306)"
cairnhill-nine,Cairnhill Nine,
oakwood-studios-singapore,Oakwood Studios Singapore,
the-woogrove,The Woogrove,"30 Woodlands Ave 1, Singapore 739065"
coliwoo-orchard,Coliwoo Orchard,
